Nombre d'habitants;Nombre de communes;Avec boulagerie %
moins de 100;4138;1,1
100 - 199;7077;6,6
200 - 499;11176;26,3
500 - 999;6474;64,7
1000 - 1999;3735;88,7
2000 - 4999;2365;98
plus de 5000;1573;99,9
